"Feed Number","Title","Link","Description","Feed URL","Newsletter Signup URL"
"314","EDU-Eligible Child Care Recovery and Stabilization Grant - Recent Updates","https://www.columbus.gov/","EDU-Eligible Child Care Recovery and Stabilization Grant - Recent Updates","https://public.govdelivery.com/topics/OHCCC_314/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_314
"316","SERV - Little Tuttle Way - Recent Updates","https://www.columbus.gov/","SERV - Little Tuttle Way - Recent Updates","https://public.govdelivery.com/topics/OHCCC_316/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_316
"318","CCC - Councilmember Favor's Forum - Recent Updates","https://www.columbus.gov/","CCC - Councilmember Favor's Forum - Recent Updates","https://public.govdelivery.com/topics/OHCCC_318/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_318
"319","CWC-2020 Commissioners - Recent Updates","https://www.columbus.gov/","CWC-2020 Commissioners - Recent Updates","https://public.govdelivery.com/topics/OHCCC_319/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_319
"321","CWC-Financial Empowerment - Recent Updates","https://www.columbus.gov/","CWC-Financial Empowerment - Recent Updates","https://public.govdelivery.com/topics/OHCCC_321/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_321
"322","CARES Act Utility Bill Assistance - Recent Updates","https://www.columbus.gov/","CARES Act Utility Bill Assistance - Recent Updates","https://public.govdelivery.com/topics/OHCCC_322/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_322
"323","DEV - Forward to businesses message_Nov 2020 Small Business Survey_OSBED - Recent Updates","http://www.columbus.gov","DEV - Forward to businesses message_Nov 2020 Small Business Survey_OSBED - Recent Updates","https://public.govdelivery.com/topics/OHCCC_323/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_323
"324","DEV - Businesses_Nov 2020 Small Business Agenda Survey_OSBED - Recent Updates","http://www.columbus.gov","DEV - Businesses_Nov 2020 Small Business Agenda Survey_OSBED - Recent Updates","https://public.govdelivery.com/topics/OHCCC_324/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_324
"325","DEV - ESOs Survey and forward to small business message_Nov 2020_OSBED - Recent Updates","http://www.columbus.gov","DEV - ESOs Survey and forward to small business message_Nov 2020_OSBED - Recent Updates","https://public.govdelivery.com/topics/OHCCC_325/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_325
"327","MLEN - Recent Updates","https://www.columbus.gov/","MLEN - Recent Updates","https://public.govdelivery.com/topics/OHCCC_327/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_327
"329","MLEN 2 - Recent Updates","https://www.columbus.gov/","MLEN 2 - Recent Updates","https://public.govdelivery.com/topics/OHCCC_329/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_329
"32","DEV - Economic Development activities - Recent Updates","https://www.columbus.gov/","DEV - Economic Development activities - Recent Updates","https://public.govdelivery.com/topics/OHCCC_32/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_32
"331","Franklin County Providers - Recent Updates","https://www.columbus.gov/","Franklin County Providers - Recent Updates","https://public.govdelivery.com/topics/OHCCC_331/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_331
"332","CPH Message - Recent Updates","https://www.columbus.gov/","CPH Message - Recent Updates","https://public.govdelivery.com/topics/OHCCC_332/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_332
"334","R & P - Sports Organizations - Recent Updates","https://www.columbus.gov/","R & P - Sports Organizations - Recent Updates","https://public.govdelivery.com/topics/OHCCC_334/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_334
"336","R & P - Sports Orgs Reminder - Recent Updates","https://www.columbus.gov/","R & P - Sports Orgs Reminder - Recent Updates","https://public.govdelivery.com/topics/OHCCC_336/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_336
"337","R&P - Sports - CRPDSports Email - Recent Updates","https://www.columbus.gov/","R&P - Sports - CRPDSports Email - Recent Updates","https://public.govdelivery.com/topics/OHCCC_337/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_337
"339","R & P - Community Sports Park - Recent Updates","https://www.columbus.gov/","R & P - Community Sports Park - Recent Updates","https://public.govdelivery.com/topics/OHCCC_339/feed.rss",https://public.govdelivery.com/accounts/OHCCC/subscriber/new?qsp=OHCCC_339
